"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","detailed_logs","drop_prob","enable_wandb","gamma","hidden_dim","learning_rate","model","momentum","num_epochs","num_views","optimizer","patience","pooling","scheduler","seed","step_size","task_name","use_scheduler","view_index","dev_accuracy","dev_auroc","dev_f1_score","dev_loss","test_accuracy","test_auroc","test_f1_score","test_precision","test_recall","train_loss"
"leafy-sweep-51","finished","-","","","2026-01-22T21:35:25.000Z","29","2287v01z","256","false","0.2813905835152781","true","0.8808588244592819","512","0.000012299203745495471","VJEPA2_SSV2","0.9","130","1","AdamW","3","max","reduce","86023","11","head_pose","no","0","0.6813186813186813","0.7335304553518629","0.31496062992125984","0.5790394660317417","0.6980392156862745","0.7336088540207341","0.26666666666666666","0.6363636363636364","0.1686746987951807","0.5526382595654061"
"zany-sweep-132","finished","-","","","2026-01-22T21:35:24.000Z","14","8kymj26f","256","false","0.3445743312305518","true","0.8808588244592819","768","0.00019107986581749653","VideoPrism","0.9","142","1","SGD","3","max","step","99235","11","extend_arm","yes","0","0.6694444444444444","0.707939607378221","0","0.6367062343491449","0.7","0.6985912011863568","0","0","0","0.672068704171196"
"bright-sweep-154","finished","-","","","2026-01-22T21:35:23.000Z","15","8ncgwe7g","256","false","0.1291933699299281","true","0.8808588244592819","256","0.000025956538356708077","ViViT","0.9","51","1","SGD","3","max","reduce","19269","11","facial_expression_surprise","no","0","0.6685393258426966","0.5729952998148412","0","0.6287382767441567","0.7121212121212122","0.6052855543113103","0","0","0","0.6354227614538622"
"devoted-sweep-40","running","-","","","2026-01-22T21:35:22.000Z","35","kdhpwwbt","256","false","0.14650676485580005","true","0.8808588244592819","1024","0.0005482616318905024","VJEPA2_SSV2","0.9","195","1","SGD","3","mean","step","40241","11","nose_touch","yes","0","","","","","","","","","","0.46817824244499207"
"fluent-sweep-96","finished","-","","","2026-01-22T21:35:20.000Z","20","jkvt5udi","256","false","0.34829424807003506","true","0.8808588244592819","1024","0.00021389016585226576","TimeSformer","0.9","155","1","AdamW","3","max","reduce","6445","11","flip_palm","no","0","0.7692307692307693","0.802657004830918","0.5894736842105263","0.48760530017536774","0.7859424920127795","0.8210774478330658","0.5562913907284768","0.6774193548387096","0.47191011235955055","0.4358797549096052"
"lucky-sweep-224","finished","-","","","2026-01-22T21:35:18.000Z","15","wlhk39r2","256","false","0.478568183925801","true","0.8808588244592819","768","0.0004702513977534655","TimeSformer","0.9","49","1","AdamW","3","mean","step","55116","11","sustained_phonation_e","no","0","0.7453874538745388","0.8063469166967184","0.6145251396648045","0.5074333698107307","0.7204724409448819","0.7467765800042274","0.49645390070921985","0.603448275862069","0.42168674698795183","0.35375519883411316"
"scarlet-sweep-12","finished","-","","","2026-01-22T21:35:17.000Z","9","455hbjvp","256","false","0.44428811430247217","true","0.8808588244592819","768","0.00003129314951263771","VideoPrism","0.9","81","1","SGD","3","mean","reduce","54471","11","tongue_twister","no","0","0.6468253968253969","0.6463086785689667","0","0.6476669311523438","0.6824034334763949","0.5553289138194798","0","0","0","0.6485883463836496"
"solar-sweep-23","finished","-","","","2026-01-22T21:35:17.000Z","17","cz5xzmdg","256","false","0.13352892123127735","true","0.8808588244592819","768","0.000016418068229263332","ViViT","0.9","119","1","AdamW","3","max","reduce","6841","11","resting_face","yes","0","0.6455696202531646","0.7036290322580645","0.7704918032786885","0.624401330947876","0.611764705882353","0.5645905420991927","0.7401574803149606","0.618421052631579","0.9215686274509804","0.5134777473262949"
"pious-sweep-103","running","-","","","2026-01-22T21:35:14.000Z","34","2s3khxvt","256","false","0.4063113826167907","true","0.8808588244592819","768","0.00031342670116098095","VJEPA2","0.9","188","1","SGD","3","max","reduce","24188","11","finger_tapping","no","0","","","","","","","","","","0.593870997428894"
"driven-sweep-29","finished","-","","","2026-01-22T21:35:14.000Z","19","9e65jeiq","256","false","0.16719809957047865","true","0.8808588244592819","512","0.000015945905010295736","VideoMAEv2","0.9","101","1","SGD","3","max","reduce","71720","11","open_fist","yes","0","0.3720930232558139","0.6297979797979798","0.49056603773584906","0.7031177822933641","0.3503184713375796","0.6110615079365079","0.4574468085106383","0.3006993006993007","0.9555555555555556","0.6928477738919597"
"grateful-sweep-151","running","-","","","2026-01-22T21:35:11.000Z","34","anpqbigc","256","false","0.3235971553559006","true","0.8808588244592819","512","0.000026637433116354223","VJEPA2","0.9","169","1","AdamW","3","max","step","8142","11","facial_expression_smile","no","0","","","","","","","","","","0.601094663143158"
"good-sweep-223","finished","-","","","2026-01-22T21:35:08.000Z","7","wlhk39r2","256","false","0.322589355333127","true","0.8808588244592819","256","0.004970537102385324","VideoPrism","0.9","28","1","SGD","3","mean","reduce","69178","11","sustained_phonation_e","yes","0","0.6531365313653137","0.7235845654525785","0","0.6198616298362338","0.671875","0.7017580287929125","0","0","0","0.6177406417051323"
"dandy-sweep-153","finished","-","","","2026-01-22T21:35:08.000Z","13","8ncgwe7g","256","false","0.19757086203323096","true","0.8808588244592819","768","0.00005841368027673958","VideoMAEv2","0.9","37","1","AdamW","3","max","step","99537","11","facial_expression_surprise","no","0","0.7206703910614525","0.7485522598870057","0.5","0.5447434499943057","0.7463126843657817","0.7238493723849372","0.44871794871794873","0.625","0.35","0.506206589848248"
"bumbling-sweep-20","finished","-","","","2026-01-22T21:35:08.000Z","17","gcl0d9ym","256","false","0.4337564535266275","true","0.8808588244592819","256","0.0007541966404820265","ViViT","0.9","142","1","SGD","3","mean","step","3260","11","reverse_count","no","0","0.7084870848708487","0.7438394037744921","0.5325443786982249","0.5592776257613489","0.7530364372469636","0.7017144591109087","0.5413533834586466","0.6545454545454545","0.4615384615384616","0.4721562417549826"
"lucky-sweep-143","finished","-","","","2026-01-22T21:35:08.000Z","16","2ga080l9","256","false","0.14406995528935848","true","0.8808588244592819","768","0.00005730896688031372","VideoMAE","0.9","161","1","SGD","3","mean","step","6502","11","eye_gaze","no","0","0.6555555555555556","0.6391470749043192","0","0.6389109231807567","0.68","0.665514705882353","0","0","0","0.6418096535492942"
"decent-sweep-202","finished","-","","","2026-01-22T21:35:07.000Z","32","78wphc9r","256","false","0.4985783688433777","true","0.8808588244592819","1024","0.00001500837263626614","VJEPA2_SSV2","0.9","193","1","SGD","3","max","reduce","71744","11","sustained_phonation_o","yes","0","0.6715867158671587","0.6773049645390071","0.25210084033613445","0.6083443499139314","0.69921875","0.6818936877076411","0.2524271844660194","0.6842105263157895","0.15476190476190477","0.5874387595143985"
"snowy-sweep-177","finished","-","","","2026-01-22T21:35:07.000Z","39","hhpm976u","256","false","0.10351727064842343","true","0.8808588244592819","768","0.00408544938880043","VJEPA2","0.9","171","1","SGD","3","max","step","8911","11","facial_expression_disgust","no","0","0.6694444444444444","0.5","0","33.055555470784505","0.7020648967551623","0.5","0","0","0","33.42618433988637"
"dry-sweep-50","finished","-","","","2026-01-22T21:35:05.000Z","14","2287v01z","256","false","0.29209823120628325","true","0.8808588244592819","512","0.00015687768646236087","ViViT","0.9","119","1","AdamW","3","max","reduce","91816","11","head_pose","no","0","0.6974169741697417","0.7296550066113716","0.5","0.5695886169852366","0.7419354838709677","0.6950041195416075","0.5","0.6530612244897959","0.4050632911392405","0.4845868857374874"
"rare-sweep-439","finished","-","","","2026-01-22T21:35:04.000Z","48","i4o2kxbt","256","false","0.4888217077356667","true","0.8808588244592819","1024","0.000011466021827875312","VJEPA2","0.9","172","1","SGD","3","max","step","13244","11","sustained_phonation_a","no","0","0.5514705882352942","0.6190533110207984","0.49166666666666664","0.6794516970129574","0.515625","0.597937430786268","0.45614035087719296","0.3611111111111111","0.6190476190476191","0.654426371015887"
"curious-sweep-131","finished","-","","","2026-01-22T21:35:04.000Z","18","8kymj26f","256","false","0.38506106492406833","true","0.8808588244592819","512","0.008741429547606693","TimeSformer","0.9","159","1","AdamW","3","max","step","19677","11","extend_arm","no","0","0.329608938547486","0.5","0.4957983193277311","67.03910682720846","0.3","0.5","0.4615384615384616","0.3","1","58.231116888983316"
"azure-sweep-11","finished","-","","","2026-01-22T21:35:01.000Z","14","455hbjvp","256","false","0.1201370762952562","true","0.8808588244592819","768","0.00009169090163934494","TimeSformer","0.9","105","1","AdamW","3","max","reduce","17605","11","tongue_twister","no","0","0.7330677290836654","0.7775697045359966","0.6127167630057804","0.5333175659179688","0.7413793103448276","0.7287843542689756","0.5161290322580645","0.6274509803921569","0.4383561643835616","0.4318475936444873"
"soft-sweep-22","finished","-","","","2026-01-22T21:35:01.000Z","10","cz5xzmdg","256","false","0.38505111807302106","true","0.8808588244592819","768","0.001033743349750177","VideoPrism","0.9","141","1","AdamW","3","max","step","14050","11","resting_face","yes","0","0.7160493827160493","0.7582070707070707","0.7927927927927928","0.5777779817581177","0.6590909090909091","0.6371967654986523","0.7540983606557377","0.6666666666666666","0.8679245283018868","0.48830781345198776"
"fancy-sweep-39","finished","-","","","2026-01-22T21:35:01.000Z","17","kdhpwwbt","256","false","0.3288999245513493","true","0.8808588244592819","256","0.00003221716609574629","VideoMAE","0.9","178","1","SGD","3","max","reduce","45401","11","nose_touch","no","0","0.6873156342182891","0.5818284881366913","0","0.6175060586943387","0.7227722772277227","0.654707545118504","0","0","0","0.6168335714106515"
"faithful-sweep-95","finished","-","","","2026-01-22T21:34:59.000Z","16","jkvt5udi","256","false","0.35326537765883603","true","0.8808588244592819","512","0.00005330168647225704","VJEPA2_SSV2","0.9","47","1","SGD","3","mean","reduce","80869","11","flip_palm","yes","0","0.6832844574780058","0.6772184435305283","0.03571428571428571","0.6135335561117469","0.7165605095541401","0.6389513108614232","0","0","0","0.6435616374864273"
"celestial-sweep-26","finished","-","","","2026-01-22T21:34:58.000Z","27","0sape03p","256","false","0.4931096230878005","true","0.8808588244592819","512","0.00005225853093007109","VJEPA2_SSV2","0.9","142","1","AdamW","3","mean","step","75634","11","pangram_utterance","no","0","0.6945945945945946","0.7356882643767889","0.5349794238683128","0.570842915612298","0.7571428571428571","0.8020355065809611","0.5971563981042654","0.6116504854368932","0.5833333333333334","0.47626786899266754"
"comic-sweep-102","finished","-","","","2026-01-22T21:34:54.000Z","16","2s3khxvt","256","false","0.1219590968625135","true","0.8808588244592819","512","0.00688342074105472","VideoPrism","0.9","198","1","AdamW","3","max","step","41639","11","finger_tapping","no","0","0.3342541436464088","0.5","0.5010351966873706","66.57458635193208","0.30029154518950435","0.5","0.4618834080717489","0.30029154518950435","1","50.224663178800526"
"summer-sweep-28","finished","-","","","2026-01-22T21:34:54.000Z","15","9e65jeiq","256","false","0.2043247382026491","true","0.8808588244592819","256","0.008581358356876335","TimeSformer","0.9","94","1","AdamW","3","max","reduce","57917","11","open_fist","no","0","0.6793002915451894","0.5170113148653921","0","1.1772361323020202","0.7124600638977636","0.5711509715994021","0","0","0","1.7628964328206085"
"kind-sweep-19","finished","-","","","2026-01-22T21:34:52.000Z","11","gcl0d9ym","256","false","0.150412984448819","true","0.8808588244592819","1024","0.00007956809257407851","VideoPrism","0.9","194","1","SGD","3","max","step","24919","11","reverse_count","no","0","0.6544117647058824","0.7177862777910592","0","0.6293506306760451","0.6745098039215687","0.6753292238722332","0","0","0","0.6281995425293594"
"absurd-sweep-152","finished","-","","","2026-01-22T21:34:52.000Z","14","8ncgwe7g","256","false","0.3703804351892688","true","0.8808588244592819","256","0.0001562827474521003","VJEPA2","0.9","60","1","SGD","3","mean","reduce","52673","11","facial_expression_surprise","yes","0","0.7206703910614525","0.6670903954802259","0.4186046511627907","0.5899204744972997","0.7463126843657817","0.7153974895397489","0.37681159420289856","0.6842105263157895","0.26","0.5610007181096432"
"still-sweep-150","finished","-","","","2026-01-22T21:34:50.000Z","18","anpqbigc","256","false","0.21279316780011248","true","0.8808588244592819","768","0.007576412622659381","VideoMAE","0.9","168","1","SGD","3","mean","step","14980","11","facial_expression_smile","yes","0","0.6796657381615598","0.6430613668061367","0.3850267379679144","0.6262963578561555","0.7095808383233533","0.6490833621584227","0.4049079754601227","0.5076923076923077","0.336734693877551","0.6683079076454779"
"balmy-sweep-49","finished","-","","","2026-01-22T21:34:49.000Z","13","2287v01z","256","false","0.14886344117678926","true","0.8808588244592819","768","0.002339594807599495","VJEPA2","0.9","24","1","AdamW","3","max","reduce","85676","11","head_pose","no","0","0.652014652014652","0.5","0","34.7985349382673","0.6745098039215687","0.5","0","0","0","34.914364202848695"
"olive-sweep-142","finished","-","","","2026-01-22T21:34:47.000Z","15","2ga080l9","256","false","0.4301536046147323","true","0.8808588244592819","768","0.0003340211666611957","ViViT","0.9","134","1","SGD","3","max","step","83348","11","eye_gaze","yes","0","0.6703703703703704","0.7240143369175628","0.2644628099173554","0.5917602993823864","0.716","0.7122794117647059","0.23655913978494625","0.8461538461538461","0.1375","0.573315257177303"
