name,seed,gamma,model,pooling,momentum,patience,drop_prob,num_views,optimizer,scheduler,step_size,task_name,batch_size,hidden_dim,num_epochs,view_index,enable_wandb,detailed_logs,learning_rate,use_scheduler,_runtime,_step,_timestamp,dev_accuracy,dev_auroc,dev_f1_score,dev_loss,test_accuracy,test_auroc,test_f1_score,test_npv,test_positives,test_precision,test_recall,test_samples,test_specificity,train_loss,_wandb.runtime
fine-sweep-3647,30137,0.8808588244592819,TimeSformer,mean,0.9,3,0.4865386851940921,4,SGD,step,11,sustained_phonation_a,64,768,148,-1,True,False,1.137218772418506e-05,yes,53,148,1770046390.310949,0.654275092936803,0.4516739980449659,0.0,0.6867338760191624,0.6814516129032258,0.4307542506179312,0.0,0.6814516129032258,79,0.0,0.0,248,1.0,0.6947665953694285,53
sweet-sweep-1532,99604,0.8808588244592819,VideoPrism,max,0.9,3,0.1880043316431712,4,SGD,reduce,11,sustained_phonation_a,64,256,94,-1,True,False,0.0003010872210204199,yes,14,94,1769902677.388514,0.6531365313653137,0.45125616059622553,0.0,0.6837563215586532,0.68,0.4782352941176471,0.0,0.68,80,0.0,0.0,250,1.0,0.6959378545724072,14
cool-sweep-400,37225,0.8808588244592819,VJEPA2_SSV2,max,0.9,3,0.4057895021726506,4,SGD,reduce,11,sustained_phonation_a,64,768,30,-1,True,False,4.4056764467285305e-05,no,56,30,1769828420.5284572,0.3540856031128405,0.45124453859393626,0.5229885057471264,0.7044921417644515,0.3333333333333333,0.4513408669252825,0.5,0.0,77,0.3333333333333333,1.0,231,0.0,0.6900462183887852,56
true-sweep-3530,87304,0.8808588244592819,ViViT,max,0.9,3,0.33757467810506936,4,SGD,step,11,sustained_phonation_a,64,768,139,-1,True,False,3.2925248482969295e-05,no,51,139,1770038430.7952862,0.41263940520446096,0.4511241446725318,0.3923076923076923,0.6949307821053998,0.43951612903225806,0.4885027338776122,0.4279835390946502,0.6785714285714286,79,0.3170731707317073,0.6582278481012658,248,0.33727810650887574,0.6927705488867472,51
lively-sweep-667,28143,0.8808588244592819,VideoPrism,max,0.9,3,0.2566810064700886,4,SGD,reduce,11,sustained_phonation_a,64,512,48,-1,True,False,0.0007930036931039004,yes,11,48,1769846657.0408423,0.6531365313653137,0.450715230195937,0.0,0.6712855538318958,0.68,0.5437500000000001,0.0,0.68,80,0.0,0.0,250,1.0,0.7024384250918638,11
stoic-sweep-2016,91410,0.8808588244592819,VideoPrism,max,0.9,3,0.2357397866151516,4,SGD,reduce,11,sustained_phonation_a,64,768,62,-1,True,False,9.645855394862974e-05,yes,14,62,1769935976.3575923,0.34686346863468637,0.4504748166846977,0.5150684931506849,0.718815885346754,0.32,0.4433823529411765,0.48484848484848486,0.0,80,0.32,1.0,250,0.0,0.6907186901685104,14
hopeful-sweep-61,48584,0.8808588244592819,VJEPA2_SSV2,max,0.9,3,0.4338590266865786,4,SGD,reduce,11,sustained_phonation_a,64,1024,84,-1,True,False,0.00172701467382243,yes,79,84,1769803158.342908,0.3540856031128405,0.4499205613663445,0.5229885057471264,0.7000161302692696,0.3333333333333333,0.4888682745825602,0.5,0.0,77,0.3333333333333333,1.0,231,0.0,0.691081520748077,79
fresh-sweep-1782,22420,0.8808588244592819,VJEPA2_SSV2,max,0.9,3,0.4742029825568065,4,SGD,reduce,11,sustained_phonation_a,64,768,178,-1,True,False,0.00021717691110399644,yes,157,178,1769919355.7795632,0.6381322957198443,0.4494902687673772,0.0,0.6895819842119625,0.6666666666666666,0.47158036768426376,0.0,0.6666666666666666,77,0.0,0.0,231,1.0,0.6947222343968025,157
efficient-sweep-885,73054,0.8808588244592819,VideoMAEv2,mean,0.9,3,0.22790760925330067,4,SGD,step,11,sustained_phonation_a,64,256,140,-1,True,False,0.0005282367418828993,no,48,140,1769861480.7714372,0.6383763837638377,0.4493929558841207,0.02,0.6908359749730663,0.66,0.4454044117647059,0.0449438202247191,0.6763485477178424,80,0.2222222222222222,0.025,250,0.9588235294117649,0.6936165430013416,48
solar-sweep-2453,94052,0.8808588244592819,VideoPrism,mean,0.9,3,0.20358191885368077,4,SGD,reduce,11,sustained_phonation_a,64,512,160,-1,True,False,1.843309824878862e-05,no,24,160,1769966888.9676516,0.6531365313653137,0.44939295588412065,0.0,0.6659391744550304,0.68,0.49172794117647056,0.0,0.68,80,0.0,0.0,250,1.0,0.7067172527313232,24
bright-sweep-2053,82148,0.8808588244592819,VideoMAE,max,0.9,3,0.10495792379963163,4,SGD,reduce,11,sustained_phonation_a,64,512,73,-1,True,False,7.074111870819986e-05,no,42,73,1769938682.0291982,0.654275092936803,0.44910801564027375,0.0,0.6886184791650027,0.68,0.4915441176470588,0.0,0.68,80,0.0,0.0,250,1.0,0.6944884608884592,42
scarlet-sweep-2810,99741,0.8808588244592819,VJEPA2_SSV2,mean,0.9,3,0.27025854529840576,4,SGD,reduce,11,sustained_phonation_a,64,768,106,-1,True,False,0.0007080511067315976,yes,98,106,1769989631.2570033,0.35797665369649806,0.4490930755990997,0.5244956772334294,0.7003968916978354,0.3333333333333333,0.4382695226851071,0.5,0.0,77,0.3333333333333333,1.0,231,0.0,0.6908363703367254,98
ethereal-sweep-1051,78029,0.8808588244592819,ViViT,mean,0.9,3,0.12454419944424357,4,SGD,reduce,11,sustained_phonation_a,64,512,132,-1,True,False,0.00037305179231817407,yes,47,132,1769872568.172155,0.654275092936803,0.4490469208211144,0.0,0.6495411482442267,0.6814516129032258,0.49471949666691634,0.0,0.6814516129032258,79,0.0,0.0,248,1.0,0.7350123639807041,47
legendary-sweep-3391,17149,0.8808588244592819,VideoMAEv2,mean,0.9,3,0.30276981833884886,4,SGD,reduce,11,sustained_phonation_a,64,256,132,-1,True,False,0.00035086455609478686,no,47,132,1770029345.526629,0.6531365313653137,0.4484914052169732,0.0,0.6498751149846179,0.68,0.4818382352941176,0.0,0.68,80,0.0,0.0,250,1.0,0.7337194368677232,47
cool-sweep-757,37701,0.8808588244592819,ViViT,mean,0.9,3,0.22725510774830424,4,SGD,reduce,11,sustained_phonation_a,64,768,104,-1,True,False,2.2514052875133364e-05,no,44,104,1769852962.4263215,0.34572490706319703,0.448435972629521,0.5138121546961326,0.7049774436702515,0.3185483870967742,0.43075425061793127,0.4831804281345566,0.0,79,0.3185483870967742,1.0,248,0.0,0.6915926738601861,44
