train_loss,dev_loss,dev_auroc,dev_accuracy,dev_f1_score,test_accuracy,test_precision,test_recall,test_auroc,test_f1_score,test_specificity,test_npv,test_samples,test_positives
0.28695422220737377,0.5054138167640091,0.8478739002932552,0.7881040892193308,0.6885245901639344,0.7276422764227642,0.5942028985507246,0.5125,0.7896460843373494,0.5503355704697986,0.8313253012048193,0.7796610169491526,246,80
0.2836361070896717,0.511243339143278,0.8281402737047898,0.7546468401486989,0.65625,0.7398373983739838,0.6081081081081081,0.5625,0.7835843373493976,0.5844155844155844,0.8253012048192772,0.7965116279069767,246,80
0.27980783201278525,0.4963405254161934,0.8386485826001955,0.7769516728624535,0.6938775510204082,0.7154471544715447,0.5609756097560976,0.575,0.7841867469879518,0.5679012345679012,0.7831325301204819,0.7926829268292683,246,80
0.27895693639491465,0.5045965936547319,0.8248411534701857,0.7620817843866171,0.6595744680851063,0.7398373983739838,0.6025641025641025,0.5875,0.7908132530120482,0.5949367088607594,0.8132530120481928,0.8035714285714286,246,80
0.34421730865823463,0.5145810818140392,0.8089565004887586,0.7509293680297398,0.6492146596858639,0.7520325203252033,0.6266666666666667,0.5875,0.8009036144578313,0.6064516129032258,0.8313253012048193,0.8070175438596491,246,80
0.2611575919262906,0.5095840798877872,0.8371517595307918,0.7657992565055762,0.6631016042780749,0.7195121951219512,0.5774647887323944,0.5125,0.7789909638554217,0.543046357615894,0.8192771084337349,0.7771428571428571,246,80
0.25438175176052336,0.5191784660612341,0.8190371456500487,0.7509293680297398,0.6492146596858639,0.7357723577235772,0.5974025974025974,0.575,0.7872364457831326,0.5859872611464968,0.8132530120481928,0.7988165680473372,246,80
0.2766112393521248,0.5131146956553689,0.851386852394917,0.7806691449814126,0.6844919786096256,0.7520325203252033,0.6301369863013698,0.575,0.7882530120481928,0.6013071895424836,0.8373493975903614,0.8034682080924855,246,80
0.27268288554029263,0.508175200024502,0.8326918377321604,0.758364312267658,0.6408839779005525,0.7073170731707317,0.5588235294117647,0.475,0.7758283132530119,0.5135135135135135,0.8192771084337349,0.7640449438202247,246,80
0.2816410020310828,0.5170963085273828,0.8112781036168133,0.7472118959107806,0.6304347826086957,0.7479674796747967,0.625,0.5625,0.7954066265060241,0.5921052631578947,0.8373493975903614,0.7988505747126436,246,80
0.26447194561045223,0.5051815729158962,0.8381598240469208,0.758364312267658,0.656084656084656,0.7154471544715447,0.5641025641025641,0.55,0.7854668674698796,0.5569620253164557,0.7951807228915663,0.7857142857142857,246,80
0.30709614525450035,0.5085668612590066,0.8266129032258064,0.7397769516728625,0.631578947368421,0.7317073170731707,0.5972222222222222,0.5375,0.794051204819277,0.5657894736842105,0.8253012048192772,0.7873563218390804,246,80
0.33074986490797487,0.5375021064591674,0.843658357771261,0.7843866171003717,0.6741573033707865,0.7479674796747967,0.6363636363636364,0.525,0.793335843373494,0.5753424657534246,0.8554216867469879,0.7888888888888889,246,80
0.28494263202586073,0.4994276021936126,0.8289345063538612,0.7620817843866171,0.6595744680851063,0.7276422764227642,0.5783132530120482,0.6,0.784789156626506,0.588957055214724,0.7891566265060241,0.803680981595092,246,80
0.3151585022185711,0.5115479335022681,0.8153103616813294,0.7620817843866171,0.6631578947368421,0.7439024390243902,0.6103896103896104,0.5875,0.8026355421686747,0.5987261146496815,0.8192771084337349,0.8047337278106509,246,80
0.2859639068867298,0.5235649145668767,0.8333027859237537,0.7769516728624535,0.6739130434782609,0.6991869918699187,0.5416666666666666,0.4875,0.7719126506024097,0.5131578947368421,0.8012048192771084,0.764367816091954,246,80
0.24370996812556653,0.5063641423629562,0.8485459433040078,0.7806691449814126,0.6740331491712708,0.7195121951219512,0.5753424657534246,0.525,0.7871234939759036,0.5490196078431373,0.8132530120481928,0.7803468208092486,246,80
0.260978824280678,0.5052132065854551,0.8315615835777127,0.7546468401486989,0.6632653061224489,0.7276422764227642,0.5844155844155844,0.5625,0.7838855421686748,0.5732484076433121,0.8072289156626506,0.7928994082840237,246,80
0.26945677748385893,0.5132971649719437,0.8179374389051809,0.7360594795539034,0.6243386243386243,0.7317073170731707,0.5921052631578947,0.5625,0.7942018072289156,0.5769230769230769,0.8132530120481928,0.7941176470588235,246,80
0.2723659378416995,0.5095278731509212,0.8247495112414467,0.7434944237918215,0.6387434554973822,0.7317073170731707,0.5875,0.5875,0.7860692771084338,0.5875,0.8012048192771084,0.8012048192771084,246,80
0.2969253424634325,0.5153296354978057,0.8117057673509287,0.7509293680297398,0.6338797814207651,0.7601626016260162,0.647887323943662,0.575,0.802710843373494,0.609271523178808,0.8493975903614458,0.8057142857142857,246,80
0.3652801450262678,0.5530686241100269,0.8362658846529815,0.7620817843866171,0.6483516483516484,0.7520325203252033,0.6417910447761194,0.5375,0.7867093373493976,0.5850340136054422,0.8554216867469879,0.7932960893854749,246,80
0.2294584848779313,0.5161766115174418,0.8374266862170088,0.7509293680297398,0.6417112299465241,0.7276422764227642,0.5915492957746479,0.525,0.7869352409638554,0.5562913907284768,0.8253012048192772,0.7828571428571428,246,80
0.3277016370854479,0.5205223777480285,0.8269489247311829,0.758364312267658,0.656084656084656,0.7073170731707317,0.5555555555555556,0.5,0.7833584337349397,0.5263157894736842,0.8072289156626506,0.7701149425287356,246,80
0.26988343228685097,0.5067528306773161,0.8405119745845553,0.7695167286245354,0.6630434782608695,0.7357723577235772,0.6086956521739131,0.525,0.7842996987951806,0.5637583892617449,0.8373493975903614,0.7853107344632768,246,80
0.4362516504652957,0.5450276304798055,0.7953323558162267,0.654275092936803,0.0,0.6747967479674797,0.0,0.0,0.7941265060240964,0.0,1.0,0.6747967479674797,246,80
0.30640404275123106,0.5247544996357318,0.8378543499511242,0.758364312267658,0.656084656084656,0.7154471544715447,0.5714285714285714,0.5,0.7823795180722891,0.5333333333333333,0.8192771084337349,0.7727272727272727,246,80
0.29928877886305466,0.5070570454721557,0.8214198435972629,0.7472118959107806,0.6344086021505376,0.7357723577235772,0.6,0.5625,0.7996234939759036,0.5806451612903226,0.8192771084337349,0.7953216374269005,246,80
0.26408260616850343,0.49772655232688306,0.8412756598240471,0.7695167286245354,0.6702127659574468,0.7276422764227642,0.5942028985507246,0.5125,0.7845632530120482,0.5503355704697986,0.8313253012048193,0.7796610169491526,246,80
0.27603879253915015,0.5079389832719994,0.8458577712609969,0.7769516728624535,0.6774193548387096,0.7560975609756098,0.6388888888888888,0.575,0.7893825301204819,0.6052631578947368,0.8433734939759037,0.8045977011494253,246,80
