train_loss,dev_loss,dev_auroc,dev_accuracy,dev_f1_score,test_accuracy,test_precision,test_recall,test_auroc,test_f1_score,test_specificity,test_npv,test_samples,test_positives
0.3410943365992515,0.4754575087178138,0.8404776969313508,0.7595307917888563,0.6583333333333333,0.7738853503184714,0.5882352941176471,0.6741573033707865,0.8560299625468164,0.6282722513089005,0.8133333333333334,0.8632075471698113,314,89
0.3692123293876648,0.4763796380188458,0.8361673521037647,0.7478005865102639,0.6446280991735537,0.7961783439490446,0.6288659793814433,0.6853932584269663,0.8553807740324594,0.6559139784946236,0.84,0.8709677419354839,314,89
0.3402813824129776,0.47838207301506197,0.838540018981335,0.7565982404692082,0.6584362139917695,0.7802547770700637,0.5961538461538461,0.6966292134831461,0.8597253433208489,0.6424870466321243,0.8133333333333334,0.8714285714285714,314,89
0.3356929382248104,0.47286920131476395,0.8366814299272383,0.7595307917888563,0.652542372881356,0.7834394904458599,0.6082474226804123,0.6629213483146067,0.8573283395755307,0.6344086021505376,0.8311111111111111,0.8617511520737328,314,89
0.34934387660362354,0.46911811706257706,0.8427317304650427,0.750733137829912,0.6413502109704642,0.7961783439490446,0.6262626262626263,0.6966292134831461,0.8604744069912609,0.6595744680851063,0.8355555555555556,0.8744186046511628,314,89
0.34791599990616384,0.47705035300548476,0.8381841189496995,0.7448680351906158,0.6419753086419753,0.7834394904458599,0.6019417475728155,0.6966292134831461,0.8575280898876404,0.6458333333333334,0.8177777777777778,0.8720379146919431,314,89
0.3418066203594208,0.47480123326226065,0.8394099968364441,0.7565982404692082,0.6556016597510373,0.7866242038216561,0.61,0.6853932584269663,0.8580774032459426,0.6455026455026455,0.8266666666666667,0.8691588785046729,314,89
0.37288892534976836,0.4641657405235201,0.8419803859538121,0.7683284457478006,0.6609442060085837,0.7961783439490446,0.6344086021505376,0.6629213483146067,0.8578277153558053,0.6483516483516484,0.8488888888888889,0.8642533936651584,314,89
0.38442489616747755,0.472731714199715,0.8364837076874407,0.7448680351906158,0.6329113924050633,0.7898089171974523,0.6185567010309279,0.6741573033707865,0.8548813982521848,0.6451612903225806,0.8355555555555556,0.8663594470046083,314,89
0.3626461110204598,0.4794229277767394,0.8388168301170517,0.7478005865102639,0.6475409836065574,0.7738853503184714,0.5865384615384616,0.6853932584269663,0.8540823970037453,0.6321243523316062,0.8088888888888889,0.8666666666666667,314,89
0.3546015387969398,0.467519434316417,0.8397263524201202,0.7595307917888563,0.6554621848739496,0.7834394904458599,0.6082474226804123,0.6629213483146067,0.8560299625468164,0.6344086021505376,0.8311111111111111,0.8617511520737328,314,89
0.3592293658446818,0.46838742372227554,0.8408731414109459,0.7624633431085044,0.6610878661087866,0.7898089171974523,0.6185567010309279,0.6741573033707865,0.8584269662921349,0.6451612903225806,0.8355555555555556,0.8663594470046083,314,89
