train_loss,dev_loss,dev_auroc,dev_accuracy,dev_f1_score,test_accuracy,test_precision,test_recall,test_auroc,test_f1_score,test_specificity,test_npv,test_samples,test_positives
0.2737588364250806,0.5353465744490113,0.8056557278519053,0.7601476014760148,0.656084656084656,0.7137096774193549,0.5526315789473685,0.5316455696202531,0.7760467380720546,0.5419354838709678,0.7988165680473372,0.7848837209302325,248,79
0.2833357939914781,0.5166684593661685,0.8086007933645871,0.7749077490774908,0.6934673366834171,0.7258064516129032,0.5647058823529412,0.6075949367088608,0.7729758070556513,0.5853658536585366,0.7810650887573964,0.8098159509202454,248,79
0.2634214116602528,0.5238461685796505,0.823746844572665,0.7675276752767528,0.6865671641791045,0.7298387096774194,0.573170731707317,0.5949367088607594,0.7764586922327915,0.5838509316770186,0.7928994082840237,0.8072289156626506,248,79
0.2967727112526796,0.5324439127066919,0.82732299555235,0.7527675276752768,0.6564102564102564,0.7217741935483871,0.5641025641025641,0.5569620253164557,0.7987416672908396,0.5605095541401274,0.7988165680473372,0.7941176470588235,248,79
0.33891267642682915,0.5181279650913393,0.8009977160716432,0.7416974169741697,0.6601941747572816,0.7096774193548387,0.5384615384615384,0.620253164556962,0.7726762040296608,0.5764705882352941,0.7514792899408284,0.8089171974522293,248,79
0.25323803333603606,0.5403199811703164,0.8223043635052291,0.7822878228782287,0.7093596059113301,0.7096774193548387,0.5421686746987951,0.569620253164557,0.7735750131076324,0.5555555555555556,0.7751479289940828,0.793939393939394,248,79
0.27575142395739655,0.5494362377592559,0.8196297631926914,0.7675276752767528,0.6896551724137931,0.717741935483871,0.5569620253164557,0.5569620253164557,0.7657478840536289,0.5569620253164557,0.7928994082840237,0.7928994082840237,248,79
0.2739842029250398,0.5218154466899999,0.8142204591898066,0.7638376383763837,0.673469387755102,0.7580645161290323,0.620253164556962,0.620253164556962,0.7824882031308517,0.620253164556962,0.8224852071005917,0.8224852071005917,248,79
0.25646310162787533,0.5193594443402167,0.8046039187402332,0.7712177121771218,0.6804123711340206,0.7379032258064516,0.5945945945945946,0.5569620253164557,0.7725638528949144,0.5751633986928104,0.8224852071005917,0.7988505747126436,248,79
0.5690360171454293,0.673340906956099,0.8053552109628561,0.7269372693726938,0.6509433962264151,0.7056451612903226,0.5319148936170213,0.6329113924050633,0.7661223878361172,0.5780346820809249,0.7396449704142012,0.8116883116883117,248,79
0.2788369760221365,0.5167478740875131,0.8137997355451376,0.7564575645756457,0.67,0.7419354838709677,0.5949367088607594,0.5949367088607594,0.7835368137218186,0.5949367088607594,0.8106508875739645,0.8106508875739645,248,79
0.264617515948354,0.5281150725934778,0.8158432503906718,0.7712177121771218,0.6736842105263158,0.7258064516129032,0.5753424657534246,0.5316455696202531,0.782600554265598,0.5526315789473685,0.8165680473372781,0.7885714285714286,248,79
0.30638557076454165,0.5223551564111041,0.8085707416756822,0.7527675276752768,0.6598984771573604,0.7379032258064516,0.5875,0.5949367088607594,0.7712530896562054,0.5911949685534591,0.8047337278106509,0.8095238095238095,248,79
0.2853864190529804,0.5262701339827253,0.8213126577713669,0.7749077490774908,0.6965174129353234,0.7379032258064516,0.5833333333333334,0.620253164556962,0.7864204928469776,0.6012269938650306,0.7928994082840237,0.8170731707317073,248,79
0.25749530646265767,0.5587802997814333,0.8178867652362062,0.7675276752767528,0.676923076923077,0.7298387096774194,0.5769230769230769,0.569620253164557,0.770129578308741,0.5732484076433121,0.8047337278106509,0.8,248,79
0.25051481480501137,0.5193266248351094,0.8232960692390912,0.7638376383763837,0.673469387755102,0.7258064516129032,0.5753424657534246,0.5316455696202531,0.7886300651636582,0.5526315789473685,0.8165680473372781,0.7885714285714286,248,79
0.2556494180037051,0.5218511168807195,0.8129883399447049,0.7712177121771218,0.6770833333333334,0.7419354838709677,0.6027397260273972,0.5569620253164557,0.7824882031308515,0.5789473684210527,0.8284023668639053,0.8,248,79
0.28564427762615435,0.5225687790180924,0.8078495011419642,0.7490774907749077,0.6633663366336634,0.7338709677419355,0.5802469135802469,0.5949367088607594,0.7751479289940828,0.5875,0.7988165680473372,0.8083832335329342,248,79
