train_loss,dev_loss,dev_auroc,dev_accuracy,dev_f1_score,test_accuracy,test_precision,test_recall,test_auroc,test_f1_score,test_specificity,test_npv,test_samples,test_positives
0.3690928422405334,0.46281288559809547,0.8346829702809945,0.775811209439528,0.6415094339622641,0.7987220447284346,0.6710526315789473,0.5730337078651685,0.8279494382022471,0.6181818181818182,0.8883928571428571,0.8396624472573839,313,89
0.2926185376451401,0.458655700219416,0.8421734553405134,0.799410029498525,0.6699029126213593,0.7827476038338658,0.647887323943662,0.5168539325842697,0.8319121187800963,0.575,0.8883928571428571,0.8223140495867769,313,89
0.34368738639140556,0.4596948505854536,0.8408373147623288,0.775811209439528,0.6481481481481481,0.792332268370607,0.6578947368421053,0.5617977528089888,0.8228330658105939,0.6060606060606061,0.8839285714285714,0.8354430379746836,313,89
0.3252690131078937,0.4653740679971588,0.84059438011175,0.775811209439528,0.6576576576576577,0.7955271565495208,0.6506024096385542,0.6067415730337079,0.8291031300160514,0.627906976744186,0.8705357142857143,0.8478260869565217,313,89
0.2845693387671145,0.4556809319155758,0.8456960077739089,0.7935103244837758,0.65,0.7891373801916933,0.6575342465753424,0.5393258426966292,0.8382323434991975,0.5925925925925926,0.8883928571428571,0.8291666666666667,313,89
0.38584132715613545,0.4592371101224669,0.834804437606284,0.799410029498525,0.6565656565656566,0.7859424920127795,0.6571428571428571,0.5168539325842697,0.8297050561797753,0.5786163522012578,0.8928571428571429,0.823045267489712,313,89
0.3839912102250996,0.46304936131193225,0.8324965584257835,0.7817109144542773,0.6509433962264151,0.7763578274760383,0.6301369863013698,0.5168539325842697,0.8244883627608347,0.5679012345679012,0.8794642857142857,0.8208333333333333,313,89
0.2986263807662233,0.46872380876963116,0.8392987286419953,0.7817109144542773,0.6574074074074074,0.7955271565495208,0.6582278481012658,0.5842696629213483,0.8289526484751203,0.6190476190476191,0.8794642857142857,0.8418803418803419,313,89
0.3477918450346964,0.46160609426751603,0.8385699246902584,0.7817109144542773,0.6542056074766355,0.7891373801916933,0.6575342465753424,0.5393258426966292,0.8296047351524879,0.5925925925925926,0.8883928571428571,0.8291666666666667,313,89
0.2590378447920976,0.4641056050241521,0.845615029557049,0.7817109144542773,0.6605504587155964,0.7987220447284346,0.6625,0.5955056179775281,0.8359751203852327,0.6272189349112426,0.8794642857142857,0.8454935622317596,313,89
0.40448752188397025,0.46694689320955307,0.8304721030042919,0.775811209439528,0.6237623762376238,0.7731629392971247,0.6285714285714286,0.4943820224719101,0.8220304975922953,0.5534591194968553,0.8839285714285714,0.8148148148148148,313,89
0.25610067262620984,0.4615763527805475,0.8466272572677949,0.8082595870206489,0.6596858638743456,0.7955271565495208,0.6923076923076923,0.5056179775280899,0.8427969502407705,0.5844155844155844,0.9107142857142857,0.8225806451612904,313,89
0.35838483853968317,0.46337489269476023,0.8363025346181877,0.775811209439528,0.6545454545454545,0.7891373801916933,0.6455696202531646,0.5730337078651685,0.8194221508828251,0.6071428571428571,0.875,0.8376068376068376,313,89
0.3681469024298434,0.46374599719117876,0.8353307960158717,0.7817109144542773,0.6542056074766355,0.7795527156549521,0.6282051282051282,0.550561797752809,0.818970706260032,0.5868263473053892,0.8705357142857143,0.8297872340425532,313,89
0.28486236501596646,0.4597346793233821,0.8431047048343996,0.8023598820058997,0.6564102564102564,0.7795527156549521,0.6428571428571429,0.5056179775280899,0.8349217495987159,0.5660377358490566,0.8883928571428571,0.8189300411522634,313,89
