name,id,seed,gamma,model,pooling,momentum,patience,drop_prob,num_views,optimizer,scheduler,step_size,task_name,batch_size,hidden_dim,num_epochs,view_index,enable_wandb,detailed_logs,learning_rate,use_scheduler,_runtime,_step,_timestamp,dev_accuracy,dev_auroc,dev_f1_score,dev_loss,test_accuracy,test_auroc,test_f1_score,test_npv,test_positives,test_precision,test_recall,test_samples,test_specificity,train_loss,_wandb.runtime
hardy-sweep-1110,pnjcucwu,44443,0.1,VJEPA2_SSV2,mean,0.9,5,0.37237294832599654,1,AdamW,reduce,10,facial_expression_surprise,256,512,134,0,True,False,4.726371895075511e-05,no,66,134,1770248409.305998,0.7681564245810056,0.8204096045197741,0.6666666666666666,0.5129758642372473,0.7610619469026548,0.7888284518828452,0.6124401913875598,0.8434782608695652,100,0.5871559633027523,0.64,339,0.8117154811715481,0.27191913787390337,66
tough-sweep-1911,bhvl18bt,14757,0.1,VJEPA2_SSV2,mean,0.9,5,0.16219155363317742,1,AdamW,reduce,7,facial_expression_surprise,256,768,63,0,True,False,7.4395253787749e-05,no,39,63,1770301312.4859283,0.7653631284916201,0.8204096045197741,0.6410256410256411,0.5039343654110445,0.7551622418879056,0.7935983263598326,0.5870646766169154,0.8277310924369747,100,0.5841584158415841,0.59,339,0.8242677824267782,0.27455481152240635,39
winter-sweep-1416,ovnhv3y9,17479,0.1,VJEPA2_SSV2,mean,0.9,5,0.454313414944963,1,AdamW,reduce,3,facial_expression_surprise,256,768,37,0,True,False,9.274337636780064e-05,no,20,37,1770268680.3719914,0.7681564245810056,0.8204096045197741,0.6527196652719666,0.5001967920604364,0.7669616519174042,0.7953138075313807,0.6146341463414634,0.8418803418803419,100,0.6,0.63,339,0.8242677824267782,0.3201895342821501,20
jolly-sweep-392,tbh9a66z,31749,0.1,VJEPA2_SSV2,mean,0.9,5,0.19320763990013823,1,AdamW,reduce,4,facial_expression_surprise,256,512,102,0,True,False,0.00013579922197989853,no,50,102,1770200140.9193287,0.7821229050279329,0.8204096045197741,0.6722689075630253,0.4974409426723779,0.7551622418879056,0.7947280334728034,0.6028708133971292,0.8391304347826087,100,0.5779816513761468,0.63,339,0.8075313807531381,0.3698854150057507,50
smooth-sweep-253,zgzpqi6i,52973,0.1,VJEPA2_SSV2,mean,0.9,5,0.17960606536832874,1,AdamW,step,10,facial_expression_surprise,256,1024,104,0,True,False,2.3592792331113734e-05,no,47,104,1770190841.8156998,0.7793296089385475,0.8203742937853106,0.6827309236947792,0.5097023689880051,0.7610619469026548,0.794142259414226,0.6232558139534884,0.8526785714285714,100,0.5826086956521739,0.67,339,0.799163179916318,0.3319160865635431,47
helpful-sweep-952,58kkf1yr,4834,0.1,VJEPA2_SSV2,mean,0.9,3,0.14975543948012848,1,AdamW,reduce,9,facial_expression_surprise,256,256,158,0,True,False,0.00010038975439007611,no,77,158,1770238113.6395566,0.7625698324022346,0.8203389830508475,0.6413502109704642,0.5009913630991675,0.7551622418879056,0.7920083682008369,0.5911330049261084,0.8305084745762712,100,0.5825242718446602,0.6,339,0.8200836820083682,0.3313264081291124,77
woven-sweep-1521,re2gxspx,66219,0.1,VJEPA2_SSV2,mean,0.9,4,0.26475178880580774,1,AdamW,reduce,5,facial_expression_surprise,256,1024,194,0,True,False,3.220575976113518e-05,no,86,194,1770275712.7121866,0.7625698324022346,0.8203389830508475,0.6613545816733067,0.5094566430126488,0.7551622418879056,0.7923430962343097,0.6139534883720931,0.8482142857142857,100,0.5739130434782609,0.66,339,0.7949790794979079,0.31433227900363486,86
daily-sweep-131,wipq2jta,3572,0.1,VJEPA2_SSV2,mean,0.9,5,0.34068230001037514,1,AdamW,step,9,facial_expression_surprise,256,256,187,0,True,False,7.362296416278139e-05,no,88,187,1770160295.783158,0.770949720670391,0.8203389830508474,0.646551724137931,0.5129293632906908,0.7492625368731564,0.7909623430962343,0.5812807881773399,0.826271186440678,100,0.5728155339805825,0.59,339,0.8158995815899581,0.25241005829736296,88
easy-sweep-622,mi4qf1ve,66666,0.1,VJEPA2_SSV2,mean,0.9,5,0.4068198966464417,1,AdamW,reduce,5,facial_expression_surprise,256,768,140,0,True,False,3.304062458079712e-05,no,62,140,1770215582.4212928,0.770949720670391,0.8203389830508473,0.6693548387096774,0.5060306809134989,0.7640117994100295,0.7915062761506275,0.6261682242990654,0.8533333333333334,100,0.5877192982456141,0.67,339,0.803347280334728,0.33255171283286494,62
wise-sweep-164,4yuwxme0,66080,0.1,VJEPA2_SSV2,mean,0.9,4,0.15007582754072094,1,AdamW,step,9,facial_expression_surprise,256,512,108,0,True,False,3.575205171633528e-05,no,50,108,1770184650.5840309,0.770949720670391,0.8203036723163842,0.6666666666666666,0.5066028576989413,0.7640117994100295,0.7931380753138076,0.6226415094339622,0.8502202643171806,100,0.5892857142857143,0.66,339,0.8075313807531381,0.32899093043570427,50
toasty-sweep-222,i858jy9j,7360,0.1,VJEPA2_SSV2,mean,0.9,5,0.3663282727763527,1,AdamW,step,9,facial_expression_surprise,256,1024,188,0,True,False,4.0596008621103305e-05,no,75,188,1770167172.618214,0.7625698324022346,0.8203036723163841,0.6473029045643154,0.5099509181923041,0.7610619469026548,0.7942677824267783,0.6086956521739131,0.8405172413793104,100,0.5887850467289719,0.63,339,0.8158995815899581,0.2646054994492304,75
lilac-sweep-101,n97rbpb0,87025,0.1,VJEPA2_SSV2,mean,0.9,5,0.3777596101313182,1,AdamW,reduce,8,facial_expression_surprise,256,768,191,0,True,False,1.441904031593835e-05,no,97,191,1770157984.1545324,0.7681564245810056,0.820303672316384,0.6693227091633466,0.5128680730665196,0.7551622418879056,0.7952719665271968,0.6175115207373272,0.8513513513513513,100,0.5726495726495726,0.67,339,0.7907949790794979,0.30549800930236903,97
misunderstood-sweep-1767,xfyb2pzl,9553,0.1,VJEPA2_SSV2,mean,0.9,5,0.3824174035576576,1,AdamW,reduce,10,facial_expression_surprise,256,768,179,0,True,False,2.5642867614868533e-05,no,75,179,1770292013.3179648,0.770949720670391,0.8202683615819208,0.6693548387096774,0.5074274147023036,0.7581120943952803,0.7940167364016736,0.6203703703703703,0.852017937219731,100,0.5775862068965517,0.67,339,0.7949790794979079,0.3291958952818264,75
